config_0,config_1,config_2,config_3
[ 1.6847879  -0.8331286   1.7858361  -1.9397347  -1.509279    0.23466921],[ 0.33556366 -0.37301892  1.653627    4.994371    5.055305   -0.76146424],[ 1.5448874 -0.5173269  1.1755004 -0.8363422 -1.600341  -3.4953165],[ 3.6710315 -1.0296389  2.1325557 -5.1898055  2.371646  -2.6595762]
[-4.619565   -0.74442226  1.7561626  -1.9518056  -1.5197213   0.49412936],[ 0.30964112 -0.35444716  1.6958501  -1.3653184   5.0507526   5.3921576 ],[ 1.5788921 -0.4253482  1.0983652 -0.7503168  4.713196  -3.350429 ],[-2.6997783 -1.1326686  2.109966   1.0388483 -3.9122472  3.5132194]
[-4.619565   -0.74442226  1.7561626  -1.9518056  -1.5197213   0.49412936],[ 0.30964112 -0.35444716  1.6958501  -1.3653184   5.0507526   5.3921576 ],[ 1.5788921 -0.4253482  1.0983652 -0.7503168  4.713196  -3.350429 ],[-2.6997783 -1.1326686  2.109966   1.0388483 -3.9122472  3.5132194]
[-4.619565   -0.74442226  1.7561626  -1.9518056  -1.5197213   0.49412936],[ 0.30964112 -0.35444716  1.6958501  -1.3653184   5.0507526   5.3921576 ],[ 1.5788921 -0.4253482  1.0983652 -0.7503168  4.713196  -3.350429 ],[-2.6997783 -1.1326686  2.109966   1.0388483 -3.9122472  3.5132194]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
[ 1.6486155  -0.6873757   1.7346593  -1.9051092   4.7542267   0.49182108],[-5.99835    -0.30312234  1.666495   -1.3761158   5.0095086  -0.77456295],[ 1.5721369  -0.35632974  1.0685837   5.5256805   4.720764   -3.4080596 ],[ 3.532083   5.0811834  2.143592  -5.2720075  2.3405983 -2.8472347]
